Date,City,State,Victims,Notes
1/2/2023,PROVIDENCE,RI,2,Car stolen when dad went inside store. Dad forgot wallet and noticed car gone. Children found; suspect on the loose.
1/3/2023,TULLAHOMA,TN,1,Car stolen while parent went into store. Suspect stole car then crashed it and fled on foot. Infant had minor injuries. 
1/6/2023,GASTONIA,NC,1,Car stolen by juvenile with underaged kid inside. Car crashed after police led on chase. 
1/8/2023,KENT,WA,1,Mom asked random man to watch car while she did task. Random man stole car with child inside and sped off. Child unharmed and AMBER alert called off when child found inside car outside a motel. 
1/8/2023,OCEANSIDE,CA,2,Car stolen on street. Children dropped off unharmed. Suspect caught later in car and arrested. 
1/9/2023,SAINT LOUIS,MO,1,"Dad was taking children to school, then car robber hopped in back and dad pleaded to release the baby. "
1/12/2023,ROCHESTER,NY,2,Car stolen with two children in back as parent went to corner store. Children and car found; suspect not. 
1/15/2023,FAIRFAX COUNTY,VA,1,Car stolen on street with child inside while dad in restaurant getting food. Car later found with child inside. No suspect arrested. 
1/16/2023,YAKIMA,WA,1,Children held at gunpoint after being left alone in car in parking lot. Suspect drove them around parking lot then let them out and took off with the car. Still on the loose. 
1/16/2023,CHARLOTTE-MECKLENBURG,NC,1,Teens stole car with 4 year inside. Car recovered and teens arrested. 
1/17/2023,COLUMBUS,OH,1,"Child left in car, which was then stolen. Child and car later located unharmed. Suspect on the loose. "
1/17/2023,TULSA,OK,1,Car stolen with child inside from street. Car and victim found; suspect arrested. 
1/18/2023,TERRE HAUTE,IN,1,Car stolen with child inside from gas station. Car and infant unharmed. Suspect arrested. 
1/22/2023,OAKLAND,CA,1,Car stolen with child inside from street when mom left it running while making DoorDash delivery. The driver began to pull off but the mom stopped the driver from leaving the premises before he could fully pull off. 
1/23/2023,CHATTANOOGA,TN,1,"Child was in back seat of car while parent went inside store with car running. Thief stole the car, crashed it and ran into woods. Police still trying to find suspect. "
1/23/2023,RENTON,WA,1,"Mom was putting child in back seat of car when mom/daughter duo stole her car with the child in back. Child, car and suspects later found and suspects arrested."
1/24/2023,CHALMETTE,LA,1,Car stolen from outside store while parent inside. Child and car later found unharmed. Suspects still on loose. 
1/26/2023,CHICAGO,IL,1,"Car left running on street with boy inside by parent. Suspects jumped into car, crashed it and fled on foot. Child left unharmed in car. "
1/27/2023,MILWAUKEE,WI,1,"Car with child inside stolen when mom left child inside to do an errand. Suspects stole car and crashed it, which killed the child. Suspects took off on foot and are still on the loose. "
1/28/2023,CHICAGO,IL,1,"Child left unattended in running car by parent, then stolen. Child unharmed. Suspect on loose. "
1/29/2023,GRAND ISLAND,NE,3,Car stolen with two children inside by young adults. Children and car later found unharmed. 
1/30/2023,HOUSTON,TX,2,Car stolen with two children left alone inside car. 
2/3/2023,FLORENCE COUNTY,SC,2,Car stolen with children inside. 
2/7/2023,TAYLOR,MI,1,Car stolen when mom went inside store. Car found and suspect later stole another car later in the month. Child safe. 
2/7/2023,LOS ANGELES,CA,1,"Father walked away briefly while child sleeping in back of car unattended, then suspect stole the car. Car and baby found unharmed; suspect arrested and apprehended. "
2/10/2023,STATESVILLE,NC,1,Child in car when it was stolen off the street. Child escaped unharmed and suspect arrested. 
